AFORE,Rend.Neto.SB4,Rend.Neto.SB3,Rend.Neto.SB2,Rend.Neto.SB1
Azteca,0.0851,0.0815,0.0718,0.0594
Banamex,0.1122,0.099,0.0894,0.0703
Banorte,0.1011,0.0929,0.0846,0.0664
Coppel,0.0785,0.0759,0.0698,0.0543
GNP,0.1106,0.0969,0.088,0.0727
Inbursa,0.062,0.0572,0.0504,0.0487
Invercap,0.1047,0.095,0.0826,0.0777
ISSSTE,0.109,0.1073,0.0954,0.0805
MetLife,0.1047,0.0944,0.0826,0.0656
Principal,0.0971,0.0876,0.078,0.0636
SURA,0.1219,0.1091,0.0958,0.0738
